date,infected,recovered,deceased
1/23/20,0,0,0
1/24/20,2,0,0
1/25/20,3,0,0
1/26/20,3,0,0
1/27/20,3,0,0
1/28/20,4,0,0
1/29/20,5,0,0
1/30/20,5,0,0
1/31/20,5,0,0
2/1/20,6,0,0
2/2/20,6,0,0
2/3/20,6,0,0
2/4/20,6,0,0
2/5/20,6,0,0
2/6/20,6,0,0
2/7/20,6,0,0
2/8/20,11,0,0
2/9/20,11,0,0
2/10/20,11,0,0
2/11/20,11,0,0
2/12/20,9,2,0
2/13/20,9,2,0
2/14/20,9,2,0
2/15/20,7,4,1
2/16/20,7,4,1
2/17/20,7,4,1
2/18/20,7,4,1
2/19/20,7,4,1
2/20/20,7,4,1
2/21/20,7,4,1
2/22/20,7,4,1
2/23/20,7,4,1
2/24/20,7,4,1
2/25/20,2,11,1
2/26/20,5,11,2
2/27/20,25,11,2
2/28/20,44,11,2
2/29/20,86,12,2
3/1/20,116,12,2
3/2/20,176,12,3
3/3/20,196,12,4
3/4/20,269,12,4
3/5/20,404,12,7
3/6/20,592,12,9
3/7/20,910,12,16
3/8/20,1084,12,19
3/9/20,1364,12,25
3/10/20,1728,12,33
3/11/20,2221,12,48
3/12/20,2221,12,48
3/13/20,3570,12,79
3/14/20,4366,12,91
3/15/20,4396,12,91
3/16/20,6473,12,148
3/17/20,7492,12,148
3/18/20,8883,12,148
3/19/20,10616,12,243
3/20/20,12150,12,450
3/21/20,13708,12,562
3/22/20,13659,2200,674
3/23/20,16796,2200,860
3/24/20,17711,3243,1100
3/25/20,19736,3900,1331
3/26/20,22213,4948,1695
3/27/20,24915,5700,1994
3/28/20,29151,5700,2311
3/29/20,29956,7202,2603
3/30/20,33082,7927,3020
3/31/20,38618,9444,3517
4/1/20,40661,10934,4767
4/2/20,40600,12428,5376
4/3/20,43084,14008,6496
4/4/20,23497,15438,7548
4/5/20,23050,16183,8066
4/6/20,23785,17250,8899
4/7/20,16748,19337,10315
4/8/20,18132,21254,10856
4/9/20,18601,23206,12196
4/10/20,17425,24932,13181
4/11/20,16765,26391,13816
4/12/20,66149,27186,14377
4/13/20,68168,27718,14950
4/14/20,84067,28512,15693
4/15/20,83907,30440,17129
4/16/20,93856,32297,17882
4/17/20,93420,33834,18642
4/18/20,95021,35379,19283
4/19/20,95111,35973,19668
4/20/20,96201,36782,20214
4/21/20,96542,38543,20736
4/22/20,96335,39988,21280
4/23/20,92671,41414,21796
4/24/20,93753,42715,22185
4/25/20,93925,43816,22554
4/26/20,93986,44125,22796
4/27/20,96626,44733,23233
4/28/20,98053,45997,23600
4/29/20,94829,47338,24026
4/30/20,94439,48572,24315
5/1/20,94014,49300,24532
5/2/20,94157,49751,24729
5/3/20,94052,49973,24862
5/4/20,93799,50438,25168
5/5/20,93166,51803,25498
5/6/20,95802,53022,25772
5/7/20,95192,54076,25950
5/8/20,94781,54770,26192
5/9/20,94975,54886,26271
5/10/20,94935,55062,26341
5/11/20,94478,55569,26604
5/12/20,93762,56617,26951
5/13/20,93388,57368,27034
5/14/20,92670,58300,27383
5/15/20,92209,59143,27485
5/16/20,92417,59142,27581
5/17/20,91279,59907,28064
5/18/20,91041,60416,28193
5/19/20,90921,61246,27976
5/20/20,90701,61713,28085
5/21/20,90369,62216,28167
5/22/20,90572,62557,28315
5/23/20,90675,62893,28401
5/24/20,90130,62961,28319
5/25/20,89734,63542,28408
5/26/20,89113,64222,28545
5/27/20,88969,64503,28546
5/28/20,91590,65098,28612
5/29/20,91580,65599,28663
5/30/20,92837,66051,28720
5/31/20,92943,66123,28751
6/1/20,93086,66120,28780
6/2/20,91894,66485,28886
6/3/20,88017,67031,28967
6/4/20,91765,67510,29011
6/5/20,91745,68007,29056
6/6/20,91961,68282,29087
6/7/20,92238,68283,29100
6/8/20,92309,68319,29154
6/9/20,92291,68736,29239
6/10/20,92451,69032,29260
6/11/20,92409,69344,29287
6/12/20,92786,69578,29315
6/13/20,92921,69783,29339
6/14/20,93150,69820,29347
6/15/20,93275,69719,29375
6/16/20,93485,69943,29487
6/17/20,93521,70223,29512
6/18/20,93714,70322,29540
6/19/20,94071,70496,29554
6/20/20,94324,70641,29570
6/21/20,94363,70661,29575
6/22/20,94359,70737,29597
6/23/20,94653,70952,29651
6/24/20,94456,71138,29662
6/25/20,94255,71322,29679
6/26/20,95013,71550,29704
6/27/20,95362,71455,29704
6/28/20,94952,71455,29704
6/29/20,95059,71595,29736
6/30/20,95077,71714,29763
7/1/20,95578,71879,29781
7/2/20,95743,72054,29794
7/3/20,96001,72181,29812
7/4/20,96090,72092,29812
7/5/20,96090,72092,29812
7/6/20,96779,72233,29838
7/7/20,96960,72363,29847
7/8/20,97689,72133,29877
7/9/20,97729,72408,29890
7/10/20,98259,72396,29914
7/11/20,98455,72200,29914
