date,infected,recovered,deceased,infected_cumulated,healthy
1/22/20,0,0,0,0,82500000
1/23/20,0,0,0,0,82500000
1/24/20,0,0,0,0,82500000
1/25/20,0,0,0,0,82500000
1/26/20,0,0,0,0,82500000
1/27/20,1,0,0,1,82499999
1/28/20,4,0,0,4,82499996
1/29/20,4,0,0,4,82499996
1/30/20,4,0,0,4,82499996
1/31/20,5,0,0,5,82499995
2/1/20,8,0,0,8,82499992
2/2/20,10,0,0,10,82499990
2/3/20,12,0,0,12,82499988
2/4/20,12,0,0,12,82499988
2/5/20,12,0,0,12,82499988
2/6/20,12,0,0,12,82499988
2/7/20,13,0,0,13,82499987
2/8/20,13,0,0,13,82499987
2/9/20,14,0,0,14,82499986
2/10/20,14,0,0,14,82499986
2/11/20,16,0,0,16,82499984
2/12/20,16,0,0,16,82499984
2/13/20,15,1,0,16,82499983
2/14/20,15,1,0,16,82499983
2/15/20,15,1,0,16,82499983
2/16/20,15,1,0,16,82499983
2/17/20,15,1,0,16,82499983
2/18/20,4,12,0,16,82499972
2/19/20,4,12,0,16,82499972
2/20/20,4,12,0,16,82499972
2/21/20,2,14,0,16,82499970
2/22/20,2,14,0,16,82499970
2/23/20,2,14,0,16,82499970
2/24/20,2,14,0,16,82499970
2/25/20,2,14,0,16,82499970
2/26/20,6,15,0,21,82499964
2/27/20,10,16,0,26,82499958
2/28/20,37,16,0,53,82499931
2/29/20,50,16,0,66,82499918
3/1/20,101,16,0,117,82499867
3/2/20,134,16,0,150,82499834
3/3/20,172,16,0,188,82499796
3/4/20,246,16,0,262,82499722
3/5/20,384,16,0,400,82499584
3/6/20,622,17,0,639,82499344
3/7/20,777,18,0,795,82499187
3/8/20,884,18,0,902,82499080
3/9/20,1119,18,2,1139,82498841
3/10/20,1276,18,2,1296,82498684
3/11/20,1539,25,3,1567,82498405
3/12/20,2339,25,5,2369,82497601
3/13/20,3011,46,5,3062,82496887
3/14/20,3741,46,8,3795,82496151
3/15/20,4780,46,12,4838,82495104
3/16/20,5932,67,13,6012,82493908
3/17/20,7077,67,12,7156,82492765
3/18/20,8081,105,12,8198,82491685
3/19/20,10866,113,20,10999,82488868
3/20/20,13746,180,31,13957,82485832
3/21/20,16382,233,47,16662,82483058
3/22/20,18289,266,55,18610,82481069
3/23/20,22320,266,86,22672,82476976
3/24/20,24079,3243,114,27436,82469207
3/25/20,27858,3547,149,31554,82464750
3/26/20,30637,5673,198,36508,82457621
3/27/20,35377,6658,253,42288,82450801
3/28/20,39776,8481,325,48582,82442612
3/29/20,42947,9211,389,52547,82437853
3/30/20,43343,13500,455,57298,82428747
3/31/20,45230,16100,583,61913,82421404
4/1/20,47934,18700,732,67366,82413202
