date,infected,recovered,deceased,healthy
1/23/20,0,0,0,58800000
1/24/20,0,0,0,58800000
1/25/20,0,0,0,58800000
1/26/20,0,0,0,58800000
1/27/20,0,0,0,58800000
1/28/20,0,0,0,58800000
1/29/20,0,0,0,58800000
1/30/20,0,0,0,58800000
1/31/20,2,0,0,58799998
2/1/20,2,0,0,58799998
2/2/20,2,0,0,58799998
2/3/20,2,0,0,58799998
2/4/20,2,0,0,58799998
2/5/20,2,0,0,58799998
2/6/20,2,0,0,58799998
2/7/20,3,0,0,58799997
2/8/20,3,0,0,58799997
2/9/20,3,0,0,58799997
2/10/20,3,0,0,58799997
2/11/20,3,0,0,58799997
2/12/20,3,0,0,58799997
2/13/20,3,0,0,58799997
2/14/20,3,0,0,58799997
2/15/20,3,0,0,58799997
2/16/20,3,0,0,58799997
2/17/20,3,0,0,58799997
2/18/20,3,0,0,58799997
2/19/20,3,0,0,58799997
2/20/20,3,0,0,58799997
2/21/20,19,0,1,58799980
2/22/20,59,1,2,58799938
2/23/20,150,1,3,58799846
2/24/20,221,-1,7,58799773
2/25/20,311,0,10,58799679
2/26/20,438,2,12,58799548
2/27/20,593,42,17,58799348
2/28/20,821,1,21,58799157
2/29/20,1053,0,29,58798918
3/1/20,1577,37,34,58798352
3/2/20,1835,66,52,58798047
3/3/20,2263,11,79,58797647
3/4/20,2706,116,107,58797071
3/5/20,3296,138,148,58796418
3/6/20,3916,109,197,58795778
3/7/20,5061,66,233,58794640
3/8/20,6387,33,366,58793214
3/9/20,7985,102,463,58791450
3/10/20,8794,0,631,58790575
3/11/20,10590,321,827,58788262
3/12/20,13052,0,1016,58785932
3/13/20,14955,394,1266,58783385
3/14/20,17750,527,1441,58780282
3/15/20,20603,369,1809,58777219
3/16/20,23073,414,2158,58774355
3/17/20,26062,192,2503,58771243
3/18/20,28710,1084,2978,58767228
3/19/20,33190,415,3405,58762990
3/20/20,38549,0,4032,58757419
3/21/20,42681,1632,4825,58750862
3/22/20,46638,952,5476,58746934
3/23/20,50826,0,6077,58743097
3/24/20,54030,1302,6820,58737848
3/25/20,57521,1036,7503,58733940
3/26/20,62013,999,8215,58728773
3/27/20,66414,589,9134,58723863
3/28/20,70065,1434,10023,58718478
3/29/20,73880,646,10779,58714695
3/30/20,75528,1590,11591,58711291
3/31/20,77635,1109,12428,58708828
4/1/20,80572,1118,13155,58705155
4/2/20,83049,1431,13915,58701605
4/3/20,85388,1480,14681,58698451
4/4/20,88274,1238,15362,58695126
4/5/20,91246,819,15887,58692048
4/6/20,93187,1022,16523,58689268
4/7/20,94067,1555,17127,58687251
4/8/20,95262,2099,17669,58684970
4/9/20,96877,1979,18279,58682865
4/10/20,98273,1985,18849,58680893
4/11/20,100269,2079,19468,58678184
4/12/20,102253,1677,19899,58676171
4/13/20,103616,1224,20465,58674695
4/14/20,104291,1695,21067,58672947
4/15/20,105418,962,21645,58671975
4/16/20,106607,2072,22170,58669151
4/17/20,106962,2563,22745,58667730
4/18/20,107771,2200,23227,58666802
4/19/20,108257,2128,23660,58665955
4/20/20,108237,1822,24114,58665827
4/21/20,107709,2723,24648,58664920
4/22/20,107699,2943,25085,58664273
4/23/20,106848,3033,25549,58664570
4/24/20,106527,2922,25969,58664582
4/25/20,105847,2622,26384,58665147
4/26/20,106103,1808,26644,58665445
4/27/20,105813,1696,26977,58665514
4/28/20,105205,2317,27359,58665119
4/29/20,104657,2311,27682,58665350
4/30/20,101551,4693,27967,58665789
5/1/20,100943,2304,28236,58668517
5/2/20,100704,1665,28710,58668921
5/3/20,100179,1740,28884,58669197
5/4/20,99980,1225,29079,58669716
5/5/20,98467,2352,29315,58669866
5/6/20,91528,8014,29684,58670774
5/7/20,89624,3031,29958,58677387
5/8/20,87961,2747,30201,58679091
5/9/20,84842,4008,30395,58680755
5/10/20,83324,2155,30560,58683961
5/11/20,82488,1401,30739,58685372
5/12/20,81266,2452,30911,58685371
5/13/20,78457,3502,31106,58686935
5/14/20,76440,2747,31368,58689445
5/15/20,72070,4917,31610,58691403
5/16/20,70187,2605,31763,58695445
5/17/20,68351,2366,31908,58697375
5/18/20,66553,2150,32007,58699290
5/19/20,65129,2075,32169,58700627
5/20/20,62752,2881,32330,58702037
5/21/20,60960,2278,32486,58704276
5/22/20,59322,2160,32616,58705902
5/23/20,57752,2120,32735,58707393
5/24/20,56594,1639,32785,58708982
5/25/20,55300,1502,32877,58710321
5/26/20,52942,2677,32955,58711426
5/27/20,50966,2443,33072,58713519
5/28/20,47986,3503,33142,58715369
5/29/20,46175,2240,33229,58718356
5/30/20,43691,2789,33340,58720180
5/31/20,42075,1874,33415,58722636
6/1/20,41367,848,33475,58724310
6/2/20,39893,1737,33530,58724840
6/3/20,39297,846,33601,58726256
6/4/20,38429,957,33689,58726925
6/5/20,36976,1886,33774,58727364
6/6/20,35877,1297,33846,58728980
6/7/20,35262,759,33899,58730080
6/8/20,34730,747,33964,58730559
6/9/20,32872,2062,34043,58731023
6/10/20,31710,1293,34114,58732883
6/11/20,30637,1399,34167,58733797
6/12/20,28997,1747,34223,58735033
6/13/20,27485,1780,34301,58736434
6/14/20,26274,1505,34345,58737876
6/15/20,25909,640,34371,58739080
6/16/20,24569,1516,34405,58739510
6/17/20,23925,929,34448,58740698
6/18/20,23101,1089,34514,58741296
6/19/20,21543,1363,34561,58742533
6/20/20,21212,546,34610,58743632
6/21/20,20972,440,34634,58743954
6/22/20,20637,533,34657,58744173
6/23/20,19573,1159,34675,58744593
6/24/20,18655,1526,34644,58745175
6/25/20,18303,614,34678,58746405
6/26/20,17638,890,34708,58746764
6/27/20,16836,969,34716,58747479
6/28/20,16681,307,34738,58748274
6/29/20,16496,305,34744,58748455
6/30/20,15563,1052,34767,58748618
7/1/20,15255,469,34788,58749488
7/2/20,15060,366,34818,58749756
7/3/20,14884,384,34833,58749899
7/4/20,14621,477,34854,58750048
7/5/20,14642,164,34861,58750333
7/6/20,14709,133,34869,58750289
7/7/20,14242,574,34899,58750285
7/8/20,13595,825,34914,58750666
7/9/20,13459,338,34926,58751277
7/10/20,13428,295,34938,58751339
7/11/20,13303,306,34945,58751446
7/12/20,13179,349,34954,58751518
7/13/20,13157,178,34967,58751698
7/14/20,12919,335,34984,58751762
7/15/20,12493,575,34997,58751935
7/16/20,12473,230,35017,58752280
7/17/20,12456,237,35028,58752279
7/18/20,12368,323,35042,58752267
7/19/20,12440,143,35045,58752372
7/20/20,12404,213,35058,58752325
7/21/20,12248,269,35073,58752410
7/22/20,12322,197,35082,58752399
7/23/20,12404,214,35092,58752290
7/24/20,12301,350,35097,58752252
7/25/20,12442,128,35102,58752328
7/26/20,12565,126,35107,58752202
7/27/20,12581,147,35112,58752160
7/28/20,12609,163,35123,58752105
7/29/20,12616,275,35129,58751980
7/30/20,12230,765,35132,58751873
7/31/20,12422,178,35141,58752259
8/1/20,12457,255,35146,58752142
8/2/20,12456,231,35154,58752159
8/3/20,12474,129,35166,58752231
8/4/20,12482,177,35171,58752170
8/5/20,12646,210,35181,58751963
8/6/20,12694,347,35187,58751772
8/7/20,12924,319,35190,58751567
8/8/20,12953,305,35203,58751539
8/9/20,13263,151,35205,58751381
8/10/20,13368,150,35209,58751273
8/11/20,13561,213,35215,58751011
8/12/20,13791,236,35225,58750748
8/13/20,14081,226,35231,58750462
8/14/20,14249,403,35234,58750114
8/15/20,14406,314,35392,58749888
8/16/20,14733,146,35396,58749725
8/17/20,14867,182,35400,58749551
8/18/20,15089,174,35405,58749332
8/19/20,15360,364,35412,58748864
8/20/20,16014,180,35418,58748388
8/21/20,16678,274,35427,58747621
8/22/20,17503,243,35430,58746824
8/23/20,18438,267,35437,58745858
8/24/20,19195,192,35441,58745172
8/25/20,19714,353,35445,58744488
8/26/20,20753,314,35458,58743475
8/27/20,21932,225,35463,58742380
8/28/20,23035,348,35472,58741145
8/29/20,23156,1322,35473,58740049
8/30/20,24205,312,35477,58740006
8/31/20,26078,-883,35483,58739322
9/1/20,26754,291,35491,58737464
9/2/20,27817,257,35497,58736429
9/3/20,28915,289,35507,58735289
9/4/20,30099,537,35518,58733846
9/5/20,31194,583,35534,58732689
9/6/20,32078,405,35541,58731976
9/7/20,32993,223,35553,58731231
9/8/20,33789,563,35563,58730085
9/9/20,34734,471,35577,58729218
9/10/20,35708,613,35587,58728092
9/11/20,36767,547,35597,58727089
9/12/20,37503,759,35603,58726135
9/13/20,38509,443,35610,58725438
9/14/20,39187,316,35624,58724873
9/15/20,39712,695,35633,58723960
9/16/20,40532,620,35645,58723203
9/17/20,41413,689,35658,58722240
9/18/20,42457,853,35668,58721022
9/19/20,43161,909,35692,58720238
9/20/20,44098,635,35707,58719560
9/21/20,45079,352,35724,58718845
9/22/20,45489,967,35738,58717806
9/23/20,46114,995,35758,58717133
9/24/20,46780,1097,35781,58716342
9/25/20,47718,954,35801,58715527
9/26/20,48593,977,35818,58714612
9/27/20,49618,724,35835,58713823
