date,infected,recovered,deceased
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,-1,0,1
1/31/20,1,0,0
2/1/20,1,0,0
2/2/20,0,0,1
2/3/20,6,0,0
2/4/20,6,0,0
2/5/20,7,0,0
2/6/20,7,0,0
2/7/20,7,0,0
2/8/20,11,0,0
2/9/20,12,0,0
2/10/20,12,0,0
2/11/20,13,0,0
2/12/20,14,0,0
2/13/20,15,0,0
2/14/20,16,0,0
2/15/20,16,0,0
2/16/20,16,0,0
2/17/20,17,0,0
2/18/20,17,0,0
2/19/20,18,0,0
2/20/20,20,0,0
2/21/20,21,0,0
2/22/20,20,0,1
2/23/20,25,0,0
2/24/20,27,0,0
2/25/20,31,0,0
2/26/20,34,0,0
2/27/20,41,0,0
2/28/20,53,0,0
2/29/20,58,0,0
3/1/20,91,0,0
3/2/20,130,0,1
3/3/20,185,0,0
3/4/20,240,0,1
3/5/20,287,0,2
3/6/20,364,0,2
3/7/20,419,0,0
3/8/20,471,0,2
3/9/20,613,0,5
3/10/20,868,0,3
3/11/20,1272,0,7
3/12/20,1748,0,13
3/13/20,2211,0,16
3/14/20,2554,0,21
3/15/20,2965,0,31
3/16/20,3526,0,51
3/17/20,4236,0,58
3/18/20,5162,0,73
3/19/20,6138,0,79
3/20/20,7274,0,118
3/21/20,8327,0,144
3/22/20,9520,0,183
3/23/20,11647,0,208
3/24/20,13755,0,263
3/25/20,16111,0,337
3/26/20,18782,0,413
3/27/20,21520,0,463
3/28/20,23826,0,516
3/29/20,26097,0,586
3/30/20,29659,0,711
3/31/20,33343,0,831
4/1/20,37333,0,924
4/2/20,41191,0,1007
4/3/20,45045,0,1061
4/4/20,47918,0,1147
4/5/20,50292,0,1220
4/6/20,54397,0,1170
4/7/20,58554,0,1293
4/8/20,62222,0,1461
4/9/20,65699,0,1375
4/10/20,68695,0,1319
4/11/20,70907,0,1365
4/12/20,73024,0,1378
4/13/20,75974,1,1232
4/14/20,79045,0,1254
4/15/20,82834,0,1276
4/16/20,86810,0,1322
4/17/20,90503,0,1272
4/18/20,94030,0,1189
4/19/20,96760,0,1122
4/20/20,100458,0,1160
4/21/20,104133,0,1085
4/22/20,108521,0,1102
4/23/20,112626,0,1038
4/24/20,116594,0,1005
4/25/20,119423,0,919
4/26/20,121997,0,894
4/27/20,125831,2,866
4/28/20,129751,0,801
4/29/20,134369,0,817
4/30/20,138545,0,780
5/1/20,142486,0,786
5/2/20,145002,0,705
5/3/20,147314,0,662
5/4/20,150016,0,676
5/5/20,153058,0,642
5/6/20,156262,0,627
5/7/20,159398,0,631
5/8/20,161878,0,569
5/9/20,163489,0,539
5/10/20,165316,0,494
5/11/20,168471,0,428
5/12/20,171419,0,441
5/13/20,174263,0,454
5/14/20,176407,0,465
5/15/20,178503,0,421
5/16/20,180149,0,419
5/17/20,181598,0,377
5/18/20,183765,0,407
5/19/20,186434,0,372
5/20/20,188787,0,353
5/21/20,190987,0,342
5/22/20,192717,0,300
5/23/20,193940,0,284
5/24/20,195007,0,281
5/25/20,196335,0,279
5/26/20,197685,0,300
5/27/20,199205,0,282
5/28/20,200651,0,288
5/29/20,201901,0,254
5/30/20,202781,0,219
5/31/20,203655,0,195
6/1/20,204890,0,199
6/2/20,206124,0,233
6/3/20,207263,0,203
6/4/20,208314,0,183
6/5/20,209235,0,184
6/6/20,209875,0,151
6/7/20,210429,0,163
6/8/20,211354,0,161
6/9/20,212370,0,137
6/10/20,213386,0,166
6/11/20,214266,0,121
6/12/20,215184,0,135
6/13/20,215970,0,101
6/14/20,216641,0,136
6/15/20,217560,0,107
6/16/20,218517,0,120
6/17/20,219409,0,105
6/18/20,220339,0,90
6/19/20,221231,0,88
6/20/20,221810,0,87
6/21/20,222352,0,80
6/22/20,223161,0,83
6/23/20,223946,0,97
6/24/20,224619,0,101
6/25/20,225208,0,108
6/26/20,225767,0,79
6/27/20,226327,0,73
6/28/20,226651,0,71
6/29/20,227186,0,69
6/30/20,227508,0,81
7/1/20,227514,0,54
7/2/20,227457,0,61
7/3/20,227911,0,48
7/4/20,228483,0,52
7/5/20,228947,0,52
7/6/20,229245,0,54
7/7/20,229783,0,43
7/8/20,230366,0,47
7/9/20,230947,0,61
7/10/20,231415,0,44
7/11/20,232197,0,38
7/12/20,232815,0,32
7/13/20,233300,0,45
7/14/20,234498,0,42
7/15/20,234995,0,41
7/16/20,235615,0,21
7/17/20,236268,0,34
7/18/20,237064,0,31
7/19/20,237766,0,24
7/20/20,238315,0,31
7/21/20,238729,0,31
7/22/20,239255,0,34
7/23/20,239988,0,36
7/24/20,240737,0,19
7/25/20,241481,0,23
7/26/20,242194,0,32
7/27/20,242861,0,18
7/28/20,243382,0,26
7/29/20,244151,0,28
7/30/20,244980,0,17
7/31/20,245829,0,31
8/1/20,246570,0,20
8/2/20,247296,0,17
8/3/20,248211,0,23
8/4/20,248854,0,27
8/5/20,249732,0,13
8/6/20,250661,0,21
8/7/20,251508,0,24
8/8/20,252244,0,22
8/9/20,253287,0,19
8/10/20,254078,0,25
8/11/20,255206,0,20
8/12/20,256191,0,24
8/13/20,257297,0,23
8/14/20,258719,0,18
8/15/20,259708,0,23
8/16/20,260798,0,15
8/17/20,261490,0,21
8/18/20,262564,0,15
8/19/20,263363,0,13
8/20/20,264529,0,16
8/21/20,265552,0,10
8/22/20,266828,0,12
8/23/20,267852,0,17
8/24/20,268814,0,10
8/25/20,269976,0,22
8/26/20,271008,0,16
8/27/20,272518,0,12
8/28/20,273782,0,12
8/29/20,274882,0,8
8/30/20,276586,0,11
8/31/20,277974,0,18
9/1/20,279258,0,11
9/2/20,280751,0,15
9/3/20,282477,0,9
9/4/20,284402,0,15
9/5/20,286201,0,14
9/6/20,289176,0,13
9/7/20,292100,0,24
9/8/20,294544,0,16
9/9/20,297189,0,14
9/10/20,300092,0,16
9/11/20,303611,0,20
9/12/20,307085,0,23
9/13/20,310395,0,20
9/14/20,312995,0,21
9/15/20,316072,0,26
9/16/20,320032,0,31
9/17/20,323389,0,38
9/18/20,327681,0,30
9/19/20,332078,0,25
9/20/20,335937,0,40
9/21/20,340275,0,30
9/22/20,345162,0,39
9/23/20,351282,0,58
9/24/20,357882,0,34
9/25/20,364715,0,40
9/26/20,370709,0,47
9/27/20,376345,0,56
9/28/20,380334,0,55
9/29/20,387429,0,48
9/30/20,394476,0,61
10/1/20,401319,0,71
10/2/20,408213,0,74
10/3/20,421014,0,70
10/4/20,443912,0,63
10/5/20,456437,0,68
10/6/20,470895,0,84
10/7/20,484947,0,110
10/8/20,502390,0,97
10/9/20,516158,0,96
10/10/20,531216,0,107
10/11/20,543960,0,128
10/12/20,557812,0,120
10/13/20,574925,0,119
10/14/20,594526,0,123
10/15/20,613352,0,152
10/16/20,628825,0,162
10/17/20,644810,0,186
10/18/20,661624,0,167
10/19/20,680234,0,193
10/20/20,701354,0,210
10/21/20,727809,0,232
10/22/20,748805,0,242
10/23/20,769111,0,225
